GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
credvarejo,com.acme.credvarejo.cliente,Cpf,32,252,20,30,9,48,20,11,0,6
credvarejo,com.acme.credvarejo.cliente,ControladorCliente,8,47,2,4,4,19,2,7,0,6
credvarejo,com.acme.credvarejo.cliente,Cliente,11,157,10,12,5,46,13,18,3,17
credvarejo,com.acme.credvarejo.contaCrediario,ContaCrediarioEspecial,12,129,1,5,3,34,2,9,1,7
credvarejo,com.acme.credvarejo.conta,MovimentoCrediario,123,0,10,0,29,0,15,0,10,0
credvarejo,com.acme.credvarejo.conta,ControladorMovimentoCrediario,26,6,4,0,12,3,4,1,2,1
credvarejo,com.acme.credvarejo.conta,MovimentoCrediarioCredito,6,0,0,0,2,0,1,0,1,0
credvarejo,com.acme.credvarejo.conta,ContaCrediario,32,91,3,3,11,34,9,13,6,13
credvarejo,com.acme.credvarejo.conta,IdentificadorContaCrediario,76,10,10,0,18,4,9,2,4,2
credvarejo,com.acme.credvarejo.conta,ControladorContaCrediario,71,57,10,6,19,17,10,4,2,4
credvarejo,com.acme.credvarejo.conta,MovimentoCrediarioDebito,6,0,0,0,2,0,1,0,1,0
credvarejo,com.acme.credvarejo.classesGerais,Registro,4,3,0,0,2,2,1,1,1,1
credvarejo,com.acme.credvarejo.classesGerais,Repositorios,22,42,0,0,6,12,4,5,4,5
credvarejo,com.acme.credvarejo.classesGerais,RepositorioRegistro,141,38,20,4,25,12,15,3,3,3
credvarejo,com.acme.credvarejo.ado.cliente,RepositorioCliente,0,196,1,23,0,43,1,17,0,6
credvarejo,com.acme.credvarejo.ado.conta,RepositorioMovimentoCrediario,151,17,4,0,21,6,5,1,3,1
credvarejo,com.acme.credvarejo.ado.conta,RepositorioContaCrediario,146,23,14,0,27,7,13,2,6,2
